VECTOR 150
SET 38 5
SET 140 0
CLEAR 53 4
SET 120 2
CLEAR 59 5
CLEAR 107 9
CLEAR 85 2
SET 107 6
CLEAR 19 7
CLEAR 61 6
SET 127 5
SET 135 7
CLEAR 123 4
SET 88 1
SET 19 0
SET 141 10
CLEAR 104 2
CLEAR 131 8
SET 119 8
SET 137 7
SET 100 4
SET 147 10
CLEAR 51 3
SET 37 3
CLEAR 22 10
SET 125 4
SET 83 4
SET 15 6
SET 73 2
SET 52 5
SET 73 5
SET 114 2
SET 22 2
SET 4 0
CLEAR 4 2
SET 33 7
SET 33 10
SET 61 10
CLEAR 30 3
SET 8 4
SET 106 10
SET 91 9
CLEAR 28 2
CLEAR 54 3
SET 53 5
CLEAR 8 1
CLEAR 4 6
CLEAR 21 2
CLEAR 98 5
SET 120 7
SET 91 7
SET 76 5
SET 114 7
CLEAR 137 4
SET 124 6
SET 105 10
SET 14 2
SET 99 2
CLEAR 111 0
SET 37 8
SET 129 8
SET 147 3
CLEAR 133 7
CLEAR 71 7
SET 33 4
SET 62 1
CLEAR 31 8
SET 26 2
SET 78 1
CLEAR 113 1
SET 113 3
SET 89 1
SET 67 10
CLEAR 16 2
CLEAR 71 4
CLEAR 72 8
SET 10 3
SET 90 10
SET 105 3
SET 54 7
SET 46 9
CLEAR 9 10
SET 59 8
SET 2 7
SET 23 6
SET 8 0
SET 48 10
SET 18 7
CLEAR 36 10
SET 32 5
END
