VECTOR 150
SET 46 4
SET 83 3
SET 98 9
SET 30 8
CLEAR 135 2
SET 149 1
SET 23 4
SET 62 2
SET 96 4
SET 124 1
CLEAR 22 4
SET 102 3
CLEAR 108 9
SET 149 7
SET 92 2
SET 108 8
SET 104 9
SET 67 6
CLEAR 10 8
SET 133 1
SET 132 6
SET 138 3
CLEAR 137 4
SET 90 8
CLEAR 25 1
SET 44 1
CLEAR 37 10
SET 52 3
CLEAR 114 2
SET 84 1
SET 100 5
SET 14 1
SET 23 1
SET 138 0
SET 132 10
SET 29 5
CLEAR 50 2
SET 26 5
SET 65 4
SET 98 0
SET 125 8
SET 118 0
SET 86 6
SET 70 10
CLEAR 7 3
SET 122 4
CLEAR 91 6
SET 93 1
SET 72 4
CLEAR 144 9
CLEAR 42 6
CLEAR 45 3
SET 10 2
CLEAR 46 2
SET 144 8
SET 120 1
SET 132 0
CLEAR 8 0
SET 36 10
SET 60 8
SET 43 8
CLEAR 5 4
CLEAR 73 2
SET 136 8
SET 83 3
CLEAR 60 4
SET 111 2
CLEAR 137 8
SET 108 4
CLEAR 12 5
CLEAR 87 7
SET 108 4
CLEAR 66 4
SET 62 3
CLEAR 20 9
SET 80 0
CLEAR 97 9
SET 11 6
SET 114 9
SET 43 2
CLEAR 81 4
SET 127 10
CLEAR 4 5
SET 106 9
CLEAR 5 5
CLEAR 110 2
CLEAR 54 5
SET 77 4
CLEAR 44 5
SET 85 10
CLEAR 37 6
CLEAR 18 4
SET 103 7
SET 92 1
CLEAR 32 2
SET 20 4
SET 73 2
SET 92 8
CLEAR 83 10
SET 28 6
SET 120 6
SET 34 7
SET 113 7
SET 127 4
CLEAR 89 6
SET 1 2
CLEAR 61 7
CLEAR 147 2
SET 58 7
SET 73 0
CLEAR 80 9
SET 89 3
CLEAR 62 0
SET 72 7
SET 134 1
CLEAR 55 7
SET 110 10
SET 38 5
SET 58 7
SET 77 6
SET 72 7
SET 123 9
SET 87 8
SET 83 3
SET 13 1
SET 45 7
SET 65 1
CLEAR 14 0
CLEAR 110 9
SET 26 10
SET 36 9
CLEAR 141 10
CLEAR 16 0
CLEAR 41 2
SET 22 5
SET 13 5
CLEAR 34 5
SET 66 0
SET 72 3
CLEAR 94 8
SET 10 5
SET 46 10
SET 122 10
SET 139 10
CLEAR 16 5
SET 90 4
SET 81 5
CLEAR 111 7
SET 28 9
SET 113 6
SET 15 0
CLEAR 30 1
CLEAR 70 1
SET 92 7
SET 135 0
CLEAR 54 1
SET 0 4
SET 129 7
SET 48 10
SET 137 5
CLEAR 70 3
CLEAR 77 0
SET 12 10
CLEAR 34 3
SET 42 1
SET 89 1
SET 56 8
SET 3 0
SET 74 10
SET 5 8
SET 35 2
SET 31 8
SET 22 8
CLEAR 88 5
CLEAR 83 4
CLEAR 115 6
SET 76 0
SET 58 5
CLEAR 77 7
SET 83 4
END
