VECTOR 150
SET 123 7
SET 27 2
CLEAR 126 3
SET 79 1
CLEAR 13 10
SET 61 3
SET 133 2
CLEAR 104 4
SET 27 7
CLEAR 94 10
SET 37 0
CLEAR 37 3
CLEAR 148 5
SET 49 3
SET 65 9
SET 13 2
SET 129 4
CLEAR 64 7
SET 13 2
SET 50 4
CLEAR 20 5
SET 89 2
SET 122 3
CLEAR 45 10
SET 66 4
SET 73 9
CLEAR 86 0
SET 119 1
CLEAR 134 6
SET 125 1
SET 121 7
SET 144 6
SET 145 2
CLEAR 37 2
SET 45 8
SET 17 7
SET 122 2
SET 138 2
CLEAR 123 6
SET 6 10
SET 111 10
SET 146 4
CLEAR 137 4
SET 124 3
SET 105 7
SET 115 0
SET 38 8
SET 120 6
CLEAR 3 4
SET 49 1
CLEAR 43 7
CLEAR 49 9
CLEAR 72 0
SET 132 2
CLEAR 133 8
CLEAR 16 4
SET 127 8
SET 21 1
SET 62 6
CLEAR 84 4
CLEAR 2 0
CLEAR 98 10
CLEAR 120 6
SET 101 10
CLEAR 3 2
SET 130 2
SET 41 2
SET 11 7
CLEAR 3 1
SET 76 6
SET 110 6
SET 26 5
CLEAR 149 1
CLEAR 118 7
SET 86 6
SET 71 4
SET 91 1
CLEAR 91 10
SET 34 0
CLEAR 45 8
CLEAR 91 9
SET 55 8
SET 8 2
SET 54 10
SET 22 2
CLEAR 39 2
SET 70 0
SET 34 1
SET 113 8
SET 97 9
SET 130 6
CLEAR 29 1
CLEAR 75 7
SET 94 2
SET 65 3
SET 15 10
SET 71 6
SET 31 8
CLEAR 3 0
SET 31 3
SET 138 2
SET 137 10
SET 110 9
SET 67 2
CLEAR 10 3
SET 86 0
SET 121 0
SET 40 9
CLEAR 125 4
SET 42 2
SET 125 8
SET 82 9
CLEAR 81 8
SET 115 1
SET 93 5
SET 92 8
CLEAR 8 1
CLEAR 86 3
SET 140 5
CLEAR 26 5
SET 6 9
SET 56 4
CLEAR 50 9
SET 3 10
CLEAR 72 2
CLEAR 21 4
SET 103 6
SET 67 2
SET 85 8
SET 146 10
SET 94 0
SET 58 7
SET 41 1
CLEAR 149 9
CLEAR 59 5
SET 75 9
SET 46 2
CLEAR 37 0
SET 106 0
SET 115 3
SET 67 1
SET 29 2
SET 97 8
CLEAR 2 1
SET 30 8
SET 62 1
CLEAR 97 6
SET 114 9
SET 130 9
CLEAR 38 10
SET 5 10
CLEAR 69 1
CLEAR 49 0
SET 81 6
SET 44 3
SET 102 1
CLEAR 5 3
SET 70 4
SET 90 1
CLEAR 85 2
SET 0 10
CLEAR 33 1
SET 18 1
CLEAR 51 0
SET 111 4
SET 130 0
CLEAR 42 3
SET 145 4
CLEAR 113 8
SET 58 5
SET 78 6
CLEAR 120 4
SET 7 10
CLEAR 149 4
SET 1 8
SET 38 2
SET 122 0
SET 136 0
SET 92 9
SET 47 5
END
